Date,DeviceCategory,Source,UserType,Sessions
20171225,desktop,google,New Visitor,6
20171225,desktop,seocheckupx.com,New Visitor,2
20171225,mobile,(direct),New Visitor,2
20171225,mobile,(direct),Returning Visitor,3
20171225,mobile,google,New Visitor,26
20171225,mobile,google,Returning Visitor,3
20171225,tablet,google,New Visitor,5
20171226,desktop,(direct),New Visitor,4
20171226,desktop,(direct),Returning Visitor,1
20171226,desktop,es.search.yahoo.com,New Visitor,1
20171226,desktop,google,New Visitor,20
20171226,desktop,google,Returning Visitor,1
20171226,desktop,seocheckupx.com,New Visitor,1
20171226,mobile,(direct),New Visitor,10
20171226,mobile,google,New Visitor,30
20171226,mobile,google,Returning Visitor,8
20171226,tablet,(direct),New Visitor,1
20171226,tablet,google,New Visitor,5
20171227,desktop,(direct),New Visitor,1
20171227,desktop,(direct),Returning Visitor,2
20171227,desktop,bing,New Visitor,1
20171227,desktop,es.search.com,New Visitor,1
20171227,desktop,google,New Visitor,24
20171227,desktop,google,Returning Visitor,3
20171227,desktop,seocheckupx.com,New Visitor,2
20171227,mobile,(direct),New Visitor,5
20171227,mobile,(direct),Returning Visitor,5
20171227,mobile,google,New Visitor,38
20171227,mobile,google,Returning Visitor,5
20171227,tablet,google,New Visitor,2
20171228,desktop,(direct),New Visitor,5
20171228,desktop,(direct),Returning Visitor,2
20171228,desktop,bing,New Visitor,1
20171228,desktop,google,New Visitor,26
20171228,desktop,google,Returning Visitor,2
20171228,desktop,seocheckupx.com,New Visitor,1
20171228,mobile,(direct),New Visitor,2
20171228,mobile,(direct),Returning Visitor,1
20171228,mobile,google,New Visitor,28
20171228,mobile,google,Returning Visitor,7
20171228,tablet,google,New Visitor,4
20171228,tablet,google,Returning Visitor,1
20171229,desktop,(direct),New Visitor,1
20171229,desktop,bing,New Visitor,1
20171229,desktop,google,New Visitor,17
20171229,desktop,google,Returning Visitor,1
20171229,desktop,uptime-eu.net,New Visitor,1
20171229,mobile,(direct),New Visitor,7
20171229,mobile,google,New Visitor,35
20171229,mobile,google,Returning Visitor,5
20171229,mobile,yahoo,New Visitor,1
20171229,tablet,(direct),New Visitor,1
20171229,tablet,google,New Visitor,5
20171230,desktop,(direct),New Visitor,1
20171230,desktop,(direct),Returning Visitor,1
20171230,desktop,google,New Visitor,4
20171230,desktop,seocheckupx.com,New Visitor,1
20171230,desktop,uptime-eu.net,New Visitor,1
20171230,desktop,uptime-us.net,New Visitor,1
20171230,mobile,(direct),New Visitor,6
20171230,mobile,(direct),Returning Visitor,3
20171230,mobile,google,New Visitor,28
20171230,mobile,google,Returning Visitor,3
20171230,mobile,m.facebook.com,New Visitor,1
20171231,desktop,(direct),New Visitor,1
20171231,desktop,bing,New Visitor,1
20171231,desktop,google,New Visitor,11
20171231,desktop,google,Returning Visitor,1
20171231,desktop,seocheckupx.com,New Visitor,1
20171231,mobile,(direct),New Visitor,3
20171231,mobile,(direct),Returning Visitor,2
20171231,mobile,google,New Visitor,19
20171231,mobile,google,Returning Visitor,1
20171231,tablet,(direct),New Visitor,1
20171231,tablet,google,New Visitor,1
20171231,tablet,google,Returning Visitor,1
20180101,desktop,(direct),New Visitor,1
20180101,desktop,(direct),Returning Visitor,1
20180101,desktop,es.search.yahoo.com,New Visitor,1
20180101,desktop,google,New Visitor,10
20180101,desktop,uptime-as.net,New Visitor,1
20180101,mobile,(direct),New Visitor,3
20180101,mobile,(direct),Returning Visitor,1
20180101,mobile,google,New Visitor,48
